country_code,year,ucdp_events
DRC,2000,92
DRC,2001,46
DRC,2002,118
DRC,2003,75
DRC,2004,23
DRC,2005,11
DRC,2006,63
DRC,2007,91
DRC,2008,60
DRC,2009,117
DRC,2010,12
DRC,2011,37
DRC,2012,95
DRC,2013,119
DRC,2014,54
DRC,2015,66
DRC,2016,155
DRC,2017,435
DRC,2018,364
DRC,2019,321
ECU,1995,26
ECU,2003,1
EGY,1990,2
EGY,1992,5
EGY,1993,43
EGY,1994,76
EGY,1995,119
EGY,1996,75
EGY,1997,34
EGY,1998,10
EGY,1999,2
EGY,2000,4
EGY,2004,3
EGY,2005,4
EGY,2006,2
EGY,2008,2
EGY,2009,2
EGY,2011,4
EGY,2012,2
EGY,2013,46
EGY,2014,45
EGY,2015,59
EGY,2016,35
EGY,2017,94
EGY,2018,82
EGY,2019,65
ERI,1993,1
ERI,1996,2
ERI,1997,9
ERI,1998,1
ERI,1999,2
ERI,2003,9
ERI,2016,1
ERI,2019,3
ETH,1989,72
ETH,1990,110
ETH,1991,46
ETH,1992,16
ETH,1993,14
ETH,1994,5
ETH,1995,8
ETH,1996,14
ETH,1997,4
ETH,1998,24
ETH,1999,58
ETH,2000,86
ETH,2001,54
ETH,2002,125
ETH,2003,69
ETH,2004,128
ETH,2005,91
ETH,2006,105
ETH,2007,146
ETH,2008,102
ETH,2009,96
ETH,2010,105
ETH,2011,99
ETH,2012,89
ETH,2013,87
ETH,2014,55
ETH,2015,112
ETH,2016,189
ETH,2017,103
ETH,2018,133
ETH,2019,107
GAM,1996,1
GAM,2004,1
GAM,2005,3
GAM,2012,1
GEO,1991,6
GEO,1992,94
GEO,1993,113
GEO,1995,3
GEO,1997,5
GEO,2004,12
GEO,2008,12
GEO,2010,4
GEO,2011,1
GHA,1991,2
GHA,1992,2
GHA,1993,1
GHA,1994,9
GHA,1995,8
GHA,2000,1
GHA,2001,1
GHA,2002,1
GHA,2008,10
GHA,2009,2
GHA,2010,1
GNB,1998,16
GNB,1999,3
GRG,1992,2
GRG,1998,3
GRG,2004,1
GUA,1989,78
GUA,1990,110
GUA,1991,74
GUA,1992,64
GUA,1993,51
GUA,1994,38
GUA,1995,27
GUA,1996,11
GUA,1997,1
GUA,1998,1
GUA,2001,1
GUA,2002,2
GUA,2004,4
GUA,2005,5
GUA,2007,1
GUA,2008,3
GUA,2009,1
GUA,2013,18
GUA,2014,38
GUA,2015,46
GUA,2016,101
GUA,2017,229
GUA,2018,447
GUA,2019,597
GUI,2000,21
GUI,2001,9
GUI,2005,1
GUI,2006,6
GUI,2007,21
GUI,2009,3
GUI,2010,1
GUI,2011,1
GUI,2012,4
GUI,2013,3
GUI,2015,1
GUI,2019,2
GUY,2008,3
HAI,1989,4
HAI,1990,2
HAI,1991,8
HAI,1993,3
HAI,1994,4
HAI,1995,1
HAI,1999,2
HAI,2004,22
HAI,2005,7
HAI,2018,1
